Fund Holdings as of,"27 mar. 2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"EBS","ERSTE GROUP BANK AG","Produtos financeiros","Equity","33 827 223,40","0,24","33 827 223,40","371 116,00","91,15","Áustria","Wiener Boerse Ag","EUR"
"III","3I GROUP PLC","Produtos financeiros","Equity","32 772 087,74","0,23","32 772 087,74","1 222 883,00","26,80","Reino Unido","London Stock Exchange","GBP"
"PRY","PRYSMIAN","Bens Industriais","Equity","32 761 098,00","0,23","32 761 098,00","348 300,00","94,06","Itália","Borsa Italiana","EUR"
"GIVN","GIVAUDAN SA","Materiais","Equity","32 505 744,90","0,23","32 505 744,90","11 250,00","2 889,41","Suíça","SIX Swiss Exchange","CHF"
"EXPN","EXPERIAN PLC","Bens Industriais","Equity","32 386 830,96","0,23","32 386 830,96","1 121 599,00","28,88","Reino Unido","London Stock Exchange","GBP"
"SLHN","SWISS LIFE HOLDING AG","Produtos financeiros","Equity","31 783 971,80","0,23","31 783 971,80","34 792,00","913,55","Suíça","SIX Swiss Exchange","CHF"
"VOD","VODAFONE GROUP PLC","Comunicação","Equity","30 015 263,82","0,21","30 015 263,82","23 588 301,00","1,27","Reino Unido","London Stock Exchange","GBP"
"SWED A","SWEDBANK","Produtos financeiros","Equity","29 734 723,10","0,21","29 734 723,10","1 052 014,00","28,26","Suécia","Nasdaq Omx Nordic","SEK"
"HEI","HEIDELBERG MATERIALS AG","Materiais","Equity","29 543 019,20","0,21","29 543 019,20","166 112,00","177,85","Alemanha","Xetra","EUR"
"VWS","VESTAS WIND SYSTEMS","Bens Industriais","Equity","29 275 405,22","0,21","29 275 405,22","1 244 034,00","23,53","Dinamarca","Omx Nordic Exchange Copenhagen A/S","DKK"
"SEB A","SKANDINAVISKA ENSKILDA BANKEN","Produtos financeiros","Equity","29 186 018,35","0,21","29 186 018,35","1 862 553,00","15,67","Suécia","Nasdaq Omx Nordic","SEK"
"KBC","KBC GROEP","Produtos financeiros","Equity","29 185 341,80","0,21","29 185 341,80","283 078,00","103,10","Bélgica","Nyse Euronext - Euronext Brussels","EUR"
"SUNB","SUNBELT RENTALS HOLDINGS INC","Bens Industriais","Equity","28 661 573,01","0,20","28 661 573,01","521 943,00","54,91","Reino Unido","London Stock Exchange","GBP"
"DNB","DNB BANK","Produtos financeiros","Equity","28 477 764,74","0,20","28 477 764,74","1 103 011,00","25,82","Noruega","Oslo Bors Asa","NOK"
"LDO","LEONARDO FINMECCANICA SPA","Bens Industriais","Equity","28 039 696,12","0,20","28 039 696,12","495 226,00","56,62","Itália","Borsa Italiana","EUR"
"CBK","COMMERZBANK AG","Produtos financeiros","Equity","27 581 561,28","0,20","27 581 561,28","902 538,00","30,56","Alemanha","Xetra","EUR"
